FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),BlurTop,BlurFront,Score,_SelectionMode,Weight (g)
fish2,296,14.8,20.0,20.0,23.689643692893085,3.206444987616206,8.545761022111495,52.668943041151486,48.13991466580729,458.14293836261146,266.1899087351057,734.1128470977171,within,16.0
fish2,297,14.85,20.0,20.0,24.31418869444274,3.2859796609432577,8.545761022111495,55.5640646459505,49.18482988258752,458.1612803765004,266.189453005939,734.6707333824394,within,16.0
fish2,298,14.9,20.0,20.0,24.154147001753376,3.2064453335785776,8.545761022111495,53.22569719592053,48.59136000379541,458.1691579812886,266.1885024851057,734.4376604663943,within,16.0
fish2,302,15.1,20.0,20.0,24.13095742006441,3.247159569251629,9.445314813912706,55.34136298404289,49.15225022762004,460.1183157762316,265.654739550103,736.1730553263345,within,16.0
fish2,303,15.15,20.0,20.0,24.59605212089343,3.26994499697046,9.445314813912706,56.56622212453479,49.87490861987389,459.3825214936999,265.655423143853,735.577944637553,within,16.0
fish2,308,15.4,20.0,20.0,25.37275776537972,3.0650754218267,9.445314813912706,55.67541547690432,50.840326538224886,454.3833764912923,265.65567053968635,730.3990470309787,within,16.0
fish2,310,15.5,20.0,20.0,24.429039019487973,2.902363783330326,8.09598412621089,52.27921513281315,49.280384134467134,454.185047519241,265.65766272718633,729.6027102464273,within,16.0
fish2,311,15.55,20.0,20.0,23.783837899301822,2.9708563756610067,8.09598412621089,51.666785562567206,48.55523033127147,454.0216143470294,265.659036425103,729.3406507721323,within,16.0
fish2,312,15.6,20.0,20.0,24.313309124184165,2.9589659949308555,6.29687654260847,52.27921513281315,49.34192722342069,453.7602384747352,265.65824215426966,729.1384806290049,within,16.0
fish2,313,15.65,20.0,20.0,24.633605510907564,2.964884027249805,5.847099646707866,53.28137261139743,49.87217681555917,453.6589233831712,265.65683590426966,729.1357592874409,within,16.0
fish2,652,32.6,20.0,20.0,24.10005718969845,3.49393072292584,7.196430334409681,57.9024320959805,51.32907508246701,448.7097826168861,265.7393457030295,723.5091283199156,within,16.0
fish2,653,32.65,20.0,20.0,24.721108969195537,3.7238825699697418,7.646207230310285,62.18943908770214,52.96391706635668,448.4688017141083,267.1339485676129,725.3427502817212,within,16.0
fish2,654,32.7,20.0,20.0,24.727073006846258,3.065978729577476,7.646207230310285,56.343520462627176,51.610050054188,448.2252774085528,267.1323925780297,724.5776699865826,within,16.0
fish2,655,32.75,20.0,20.0,24.89822835793097,3.1020715998982227,7.646207230310285,57.73540584954978,51.943721092882434,448.2338537974415,267.0918912759463,724.8657450733878,within,16.0
fish2,1605,80.25,20.0,20.0,23.891829581048736,3.439763394492665,4.947545854906655,52.446241379243865,48.82538778288306,477.98809448828047,268.960162731764,756.3482572200445,within,16.0
fish2,1713,85.65,20.0,20.0,24.962434480908566,2.720758793789281,11.244422397515123,55.00731049118146,52.58785199715956,465.648932278932,266.5889973931207,742.4779296720527,within,16.0
fish2,5861,293.05,20.0,20.0,23.90834345000597,2.955911147194604,8.09598412621089,49.82949685182937,49.99441370379235,449.4732545425226,257.98827148309283,716.6815260256155,within,16.0
fish2,5870,293.5,20.0,20.0,24.21711771693189,2.9914601646680814,8.545761022111495,52.16786430185935,49.56949103821528,449.664287650026,258.49056639794253,717.7548540479685,within,16.0
