FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced
fish2,16.0,8090,404.5,20.0,20.0,6.231533203594517,5.647326965757531,3.7333333333333334,29.067121729237765,19.98695567498895,796,481,27.44731637543101,10.16238593715032,53.529702312581335,87.2,64.3,66.0,49.4
fish2,16.0,8235,411.75,20.0,20.0,4.406358938610862,3.717865284810104,2.533333333333333,12.078119074706104,13.424206139350302,336,298,27.117211539638195,10.742067017862531,44.57927855750073,87.0,64.0,65.7,49.3
fish3,81.9,1120,56.0,20.0,20.0,20.030313803132607,13.324512688171092,42.8,206.99658703071668,53.317850064442005,5505,19659,27.05837565104167,10.056197778956093,147.21457342999776,86.8,63.0,66.0,48.4
fish3,81.9,1125,56.25,20.0,20.0,20.29737968165389,13.621199232595483,42.53333333333333,206.712172923777,54.133793033000885,5500,19541,27.04974687017747,10.054664537207286,147.10441140738476,86.8,63.0,66.0,48.4
fish3,81.9,1130,56.5,20.0,20.0,31.448865823209527,17.0665594425222,41.6,373.1702692453545,79.92070585559235,6116,19944,27.06877897796631,10.047799368921913,159.43657834688824,86.8,63.0,65.9,48.4
fish3,81.9,1135,56.75,20.0,20.0,30.916350522228683,17.15639903957767,41.2,364.69472885855134,78.75332671672724,6142,20253,27.21241186154212,10.078876817819808,160.13128867936194,86.7,63.0,65.9,48.4
fish3,81.9,1140,57.0,20.0,20.0,29.649643255154324,17.802754150133364,40.13333333333333,372.37390974592336,76.47453121942463,5907,20565,27.31355761349526,10.110862459299302,155.56442007279458,87.0,63.0,65.8,48.5
fish3,81.9,1145,57.25,20.0,20.0,29.457460297977693,18.27885543170272,39.46666666666667,387.63746681835414,77.02606587911333,6292,20818,27.417624092591844,10.093502514478896,163.35112660707074,87.0,63.0,65.8,48.6
fish3,81.9,1150,57.5,20.0,20.0,27.373411634708333,19.146152451628772,37.06666666666666,404.0955631399317,76.76280266054872,5958,22705,27.339426659478082,9.98269853328069,156.48212519275876,86.9,63.1,65.9,49.0
fish3,81.9,1440,72.0,20.0,20.0,29.34897351339401,13.459262426617903,5.466666666666667,276.52635570724306,71.34000081962213,5121,1115,27.81186500651042,9.856171667310926,140.08803667382136,86.9,63.7,65.8,48.7
fish3,81.9,1445,72.25,20.0,20.0,29.73784411044869,14.409836647988556,5.333333333333333,309.9924156238149,73.54517676259226,6007,902,27.812654751925997,9.860302529642318,157.81295728156832,86.9,63.7,65.8,48.8
fish3,81.9,1450,72.5,20.0,20.0,30.37872436752327,14.020949708087663,5.066666666666666,301.85817216533934,74.47816726536628,4956,687,27.582606159558722,9.900872216754488,136.6034783763132,86.9,63.7,65.8,48.8
fish3,81.9,1455,72.75,20.0,20.0,30.51522576194138,14.698778169021619,4.533333333333333,330.7925673113386,75.50024083534463,5374,624,27.601638264295783,9.900712735483383,144.98235099977916,86.9,63.7,65.8,48.8
fish3,81.9,1460,73.0,20.0,20.0,29.73401394158185,15.822115589128837,4.133333333333333,344.3306788016685,77.62178918067595,6101,561,27.49202066446941,9.935836433400048,159.44785709786947,87.2,63.9,65.8,48.8
fish3,81.9,1465,73.25,20.0,20.0,29.54581269602785,16.161092962410727,3.7333333333333334,346.0561243837694,78.59302438108506,6105,522,27.548666211822898,9.935364440748426,159.58403065257133,87.2,63.9,65.8,48.8
fish3,81.9,1470,73.5,20.0,20.0,28.717991078270902,16.797749336596077,3.6,340.46264694728853,77.5798276926696,6126,530,27.62352341029791,9.951070828236471,160.09459423853437,87.2,63.9,65.8,48.8
fish3,81.9,1475,73.75,20.0,20.0,28.635043705177136,16.934703873568253,2.933333333333333,361.67993932499047,77.91807650929591,5855,446,27.58714240180123,9.942965364233658,154.63010776603488,87.2,63.9,65.8,48.8
fish3,81.9,2335,116.75,20.0,20.0,32.36479321061015,19.725564292672395,40.4,492.87068638604467,84.60743744061024,8675,9784,27.55764556741596,10.100566161431203,211.15821172884716,86.4,63.3,65.5,49.0
fish3,81.9,2340,117.0,20.0,20.0,32.36479321061015,19.795265046054464,40.53333333333333,494.5392491467576,84.67272404694464,8682,9905,27.662294113931537,10.10487932831446,211.407173442246,86.7,63.3,65.5,48.9
fish3,81.9,2345,117.25,20.0,20.0,32.36479321061015,19.876585563093464,40.666666666666664,499.4690936670458,84.67647644800634,8675,10115,27.578843652343757,10.077428134112887,211.15627178645664,86.7,63.3,65.5,48.9
fish3,81.9,2350,117.5,20.0,20.0,30.52645181157592,20.655215213751454,40.53333333333333,510.59916571861953,84.83765489020543,8706,10042,27.69856048808156,10.093297332922619,211.9118578210042,86.8,63.4,65.7,49.0
