FishID,View,FrameIndex,Method,MaskArea_px,MaskLength_px,MaskWidth_px,MaskPerimeter_px,Bbox_w_px,Bbox_h_px
fish01,front,3436,FastSAM,4204.0,95.18339538574219,57.509681701660156,255.76450061798096,106.5238,87.5791
fish01,front,3437,FastSAM,4017.5,89.09545135498047,57.27565002441406,248.00714015960693,103.081055,87.31781
fish01,front,3438,FastSAM,4156.5,92.63097381591797,57.27565002441406,256.49242186546326,103.04242,87.62967
fish01,front,3439,FastSAM,4213.5,95.45940399169922,57.982749938964844,259.1787129640579,101.30475,86.930664
fish01,front,3440,FastSAM,4068.0,93.79112243652344,55.39923095703125,255.07820761203766,103.128174,87.62836
fish01,front,3441,FastSAM,4161.5,96.33210754394531,55.09102249145508,257.66399574279785,103.0777,88.20911
fish01,front,3442,FastSAM,4021.0,93.33808135986328,55.154327392578125,252.59292650222778,101.79773,89.02423
fish01,front,3443,FastSAM,3892.0,90.1183853149414,57.29228210449219,249.27921772003174,102.37421,88.37619
fish01,front,3444,FastSAM,4061.5,92.5608901977539,56.165592193603516,254.00714135169983,99.609375,88.34537
fish01,front,3445,FastSAM,4218.0,94.18002319335938,56.99199676513672,259.07820749282837,98.25409,87.62503
fish01,front,3446,FastSAM,3879.5,93.42884826660156,53.21842575073242,252.00713896751404,98.4314,88.30017
fish01,front,3447,FastSAM,3908.0,92.98609924316406,53.96315383911133,253.07820785045624,103.192444,85.90411
fish01,front,3448,FastSAM,3908.0,92.98609924316406,53.96315383911133,253.07820785045624,103.178955,86.04401
fish01,front,3449,FastSAM,3947.0,92.9428482055664,53.81224822998047,253.0782070159912,103.348694,86.38901
fish01,front,3450,FastSAM,3931.0,93.11849975585938,52.8202018737793,252.73506128787994,102.533936,86.063416
fish01,front,3451,FastSAM,3963.0,93.58274841308594,53.35468673706055,254.7350618839264,101.06641,87.45154
fish01,front,3452,FastSAM,3914.5,92.63097381591797,53.740108489990234,253.32084810733795,101.93555,86.600586
fish01,front,3453,FastSAM,3765.0,89.18028259277344,52.223777770996094,244.24978017807007,102.149414,87.340454
fish01,front,3454,FastSAM,3785.5,91.21676635742188,52.32590103149414,246.0071406364441,100.94849,87.863495
fish01,front,3455,FastSAM,3920.5,95.68782043457031,52.368770599365234,252.8355667591095,99.20947,88.854126
fish01,front,3456,FastSAM,3791.5,93.33888244628906,52.11100387573242,251.66399455070496,99.272766,91.5614
fish01,front,3457,FastSAM,3857.0,91.80244445800781,52.75119400024414,253.90663421154022,98.46094,92.89719
fish01,front,3458,FastSAM,3840.0,91.2167739868164,51.61879348754883,251.56349050998688,97.680664,92.280426
fish01,front,3459,FastSAM,3826.5,91.18887329101562,52.910823822021484,252.4924200773239,94.17859,92.16373
fish01,front,3460,FastSAM,3611.0,85.55992126464844,52.325897216796875,238.24978017807007,93.63196,91.70068
fish01,front,3461,FastSAM,3328.5,84.14572143554688,50.204586029052734,229.86500656604767,91.37512,91.25714
fish01,front,3462,FastSAM,3369.5,84.14570617675781,50.20458221435547,230.35028743743896,94.708374,91.28195
fish01,front,3463,FastSAM,3204.5,84.14570617675781,49.497474670410156,228.2081503868103,92.586914,91.03204
fish01,front,3464,FastSAM,3190.5,82.02438354492188,50.20457458496094,227.86500477790833,90.18744,91.991455
fish01,front,3465,FastSAM,3110.0,82.73149108886719,49.497474670410156,223.62236559391022,89.92798,92.53534
fish01,front,3466,FastSAM,3072.5,81.31727600097656,50.20458221435547,220.55129826068878,85.29224,92.434875
fish01,front,3467,FastSAM,3214.5,81.31727600097656,50.91168212890625,223.8650062084198,85.37598,94.02124
fish01,front,3468,FastSAM,3160.5,84.44608306884766,48.371734619140625,224.2081515789032,83.8656,91.42151
fish01,top,144,Full_SAM,771.5,65.0,17.0,150.32590091228485,52.403687,53.648926
fish01,top,145,Full_SAM,673.5,54.00526428222656,17.740514755249023,133.49747383594513,52.322754,50.21019
fish01,top,146,Full_SAM,616.0,60.0,15.0,136.42640602588654,51.5271,47.641373
fish01,top,147,Full_SAM,544.5,54.0,15.0,125.35533845424652,51.24164,49.781265
fish01,top,148,Full_SAM,528.5,51.0,16.0,119.35533845424652,52.434814,47.357483
fish01,top,149,Full_SAM,491.0,51.0,14.0,117.11269783973694,54.326904,48.621338
fish01,top,150,Full_SAM,576.0,62.0,13.0,138.28427076339722,60.77722,32.589783
fish01,top,151,Full_SAM,553.5,61.0,13.0,135.69848430156708,59.99469,33.626694
fish01,top,152,Full_SAM,542.0,61.0,14.0,136.76955199241638,59.991943,30.421509
fish01,top,153,Full_SAM,562.0,62.0,15.0,140.42640602588654,62.41992,30.268005
fish01,top,154,Full_SAM,596.5,63.0,15.0,143.01219260692596,65.14526,31.503113
fish01,top,155,Full_SAM,578.5,62.422019958496094,15.081160545349121,141.8406195640564,61.32019,37.035706
fish01,top,156,Full_SAM,628.0,75.38970184326172,14.551884651184082,175.88224971294403,61.473877,36.534653
fish01,top,157,Full_SAM,566.5,60.16634750366211,13.703368186950684,135.49747383594513,60.707092,34.553894
fish01,top,158,Full_SAM,579.5,60.9080696105957,13.92715072631836,138.32590091228485,65.95264,35.046814
fish01,top,159,Full_SAM,649.0,76.8661117553711,16.133277893066406,180.02438485622406,71.44696,36.873657
fish01,top,160,Full_SAM,650.0,77.87348175048828,15.83696460723877,180.3675309419632,70.39398,36.228577
fish01,top,161,Full_SAM,610.0,72.91033172607422,14.511995315551758,166.3675309419632,70.8822,36.154648
fish01,top,162,Full_SAM,651.5,79.69335174560547,14.933528900146484,183.0954531431198,71.094604,36.74388
fish01,top,163,Full_SAM,704.0,81.13873291015625,15.181224822998047,183.68123960494995,89.8678,37.95192
fish01,top,164,Full_SAM,675.0,81.43644714355469,14.058638572692871,185.3380936384201,90.45178,37.453247
fish01,top,165,Full_SAM,565.0,58.17228317260742,13.643820762634277,132.02438485622406,75.40881,41.904297
fish01,top,166,Full_SAM,563.0,58.66679382324219,13.300236701965332,132.85281240940094,68.59064,43.006958
fish01,top,167,Full_SAM,558.5,57.80119705200195,13.82046127319336,131.43859887123108,66.75311,43.388412
fish01,top,168,Full_SAM,561.0,58.30952072143555,13.548388481140137,132.85281240940094,65.615906,44.096252
fish01,top,169,Full_SAM,547.5,57.9782829284668,13.561022758483887,132.2670259475708,65.808105,43.10826
fish01,top,170,Full_SAM,557.5,57.932918548583984,13.218317985534668,131.09545278549194,65.63391,43.572815
fish01,top,171,Full_SAM,552.5,59.053802490234375,13.484725952148438,133.92387986183167,64.697266,44.675537
fish01,top,172,Full_SAM,605.0,68.09175872802734,13.430944442749023,154.65180230140686,61.67621,46.70996
fish01,top,173,Full_SAM,609.5,67.72125244140625,14.00244426727295,154.06601548194885,58.43457,46.16272
fish01,top,174,Full_SAM,611.5,69.51053619384766,14.25753402709961,158.89444231987,55.462463,46.560898
fish01,top,175,Full_SAM,538.0,55.154327392578125,14.142135620117188,126.50966596603394,53.073975,46.849136
fish01,top,176,Full_SAM,538.0,56.56468200683594,13.379294395446777,128.16652059555054,51.60315,47.07495
fish01,top,177,Full_SAM,608.0,69.76939392089844,13.348787307739258,161.96550941467285,52.737793,48.379745
fish01,top,178,Full_SAM,613.5,69.23705291748047,13.358236312866211,160.55129647254944,51.52832,50.4433
fish01,top,179,Full_SAM,622.0,69.80967712402344,13.899465560913086,161.96551036834717,50.976562,52.347305
fish01,top,180,Full_SAM,645.0,71.29544067382812,13.85202407836914,159.6223646402359,50.45294,54.7213
fish01,top,181,Full_SAM,724.0,78.42036437988281,15.510526657104492,178.45079219341278,52.541687,56.24054
fish01,top,182,Full_SAM,739.5,77.89722442626953,16.35247039794922,177.86500668525696,52.829346,54.19574
fish01,top,183,Full_SAM,714.5,73.7492446899414,15.748537063598633,166.2081526517868,51.250122,51.70323
fish01,top,184,Full_SAM,698.0,71.66728973388672,15.333205223083496,163.137082695961,50.28418,53.25531
fish01,top,185,Full_SAM,734.0,73.79998779296875,15.599997520446777,171.96550917625427,49.08972,51.725113
